Date,Heure,Nbre_acariens_Suivis,Montee_Astigmates,Montee_Nymphes,Montee_Adultes,Descente_Astigmates,Descente_Nymphes,Descente_Adultes
2021-03-23,15:28:01,3,135,0,0,141,0,0
2021-03-23,15:28:08,2,137,0,0,141,0,0
2021-03-23,15:28:10,1,137,0,0,143,0,0
2021-03-23,15:28:13,4,139,0,0,144,0,0
2021-03-23,15:28:15,2,142,0,0,144,0,0
2021-03-23,15:28:17,5,143,0,0,146,0,0
2021-03-23,15:28:19,5,145,0,0,147,0,0
2021-03-23,15:28:21,6,146,0,0,149,0,0
2021-03-23,15:28:22,3,149,0,0,151,0,0
2021-03-23,15:28:28,2,149,0,0,153,0,0
2021-03-23,15:28:30,2,151,0,0,153,0,0
2021-03-23,15:28:33,0,151,0,0,155,0,0
2021-03-23,15:28:36,3,154,0,0,155,0,0
2021-03-23,15:28:41,1,156,0,0,155,0,0
2021-03-23,15:28:44,2,157,0,0,157,0,0
2021-03-23,15:28:47,0,159,0,0,157,0,0
2021-03-23,15:28:51,2,161,0,0,157,0,0
2021-03-23,15:28:53,0,162,0,0,159,0,0
2021-03-23,15:29:01,2,164,0,0,160,0,0
2021-03-23,15:29:04,0,166,0,0,161,0,0
2021-03-23,15:29:23,1,167,0,0,163,0,0
2021-03-23,15:29:25,2,169,0,0,164,0,0
2021-03-23,15:29:30,2,171,0,0,164,0,0
2021-03-23,15:29:33,2,173,0,0,164,0,0
2021-03-23,15:29:34,2,174,0,0,166,0,0
2021-03-23,15:29:40,3,175,0,0,168,0,0
2021-03-23,15:29:42,1,175,0,0,170,0,0
2021-03-23,15:29:45,1,177,0,0,171,0,0
2021-03-23,15:29:51,2,177,0,0,174,0,0
2021-03-23,15:29:56,2,179,0,0,175,0,0
2021-03-23,15:29:58,2,181,0,0,175,0,0
2021-03-23,15:30:02,2,181,0,0,177,0,0
2021-03-23,15:30:04,4,183,0,0,177,0,0
2021-03-23,15:30:06,1,184,0,0,179,0,0
2021-03-23,15:30:11,0,184,0,0,181,0,0
2021-03-23,15:30:19,1,184,0,0,183,0,0
2021-03-23,15:30:23,4,186,0,0,183,0,0
2021-03-23,15:30:28,4,188,0,0,184,0,0
2021-03-23,15:30:30,1,191,0,0,184,0,0
2021-03-23,15:30:33,3,193,0,0,185,0,0
2021-03-23,15:30:35,1,194,0,0,187,0,0
2021-03-23,15:30:37,3,196,0,0,189,0,0
2021-03-23,15:30:39,4,199,0,0,190,0,0
2021-03-23,15:30:42,2,200,0,0,192,0,0
2021-03-23,15:30:44,2,202,0,0,192,0,0
2021-03-23,15:30:46,4,204,0,0,192,0,0
2021-03-23,15:30:48,3,204,0,0,195,0,0
2021-03-23,15:30:54,0,206,0,0,197,0,0
2021-03-23,15:30:56,4,209,0,0,197,0,0
2021-03-23,15:30:58,4,209,0,0,199,0,0
2021-03-23,15:31:00,0,211,0,0,199,0,0
2021-03-23,15:31:08,2,214,0,0,200,0,0
2021-03-23,15:31:10,1,216,0,0,201,0,0
2021-03-23,15:31:15,3,218,0,0,203,0,0
2021-03-23,15:31:17,5,220,0,0,206,0,0
2021-03-23,15:31:19,4,220,0,0,209,0,0
2021-03-23,15:31:21,10,220,0,0,211,0,0
2021-03-23,15:31:23,3,224,0,0,211,0,0
2021-03-23,15:31:25,2,225,0,0,213,0,0
2021-03-23,15:31:28,3,225,0,0,215,0,0
2021-03-23,15:31:35,5,225,0,0,217,0,0
2021-03-23,15:31:37,1,226,0,0,219,0,0
2021-03-23,15:31:39,2,228,0,0,219,0,0
2021-03-23,15:31:46,2,229,0,0,221,0,0
2021-03-23,15:31:52,2,231,0,0,221,0,0
2021-03-23,15:31:54,0,233,0,0,222,0,0
2021-03-23,15:32:00,0,233,0,0,224,0,0
2021-03-23,15:32:05,3,235,0,0,224,0,0
2021-03-23,15:32:09,2,236,0,0,226,0,0
2021-03-23,15:32:11,0,236,0,0,229,0,0
2021-03-23,15:32:14,1,236,0,0,231,0,0
2021-03-23,15:32:17,1,236,0,0,233,0,0
2021-03-23,15:32:21,1,236,0,0,235,0,0
2021-03-23,15:32:26,1,238,0,0,236,0,0
2021-03-23,15:32:29,4,238,0,0,238,0,0
2021-03-23,15:32:38,1,240,0,0,239,0,0
2021-03-23,15:32:42,1,242,0,0,240,0,0
2021-03-23,15:32:46,1,242,0,0,242,0,0
2021-03-23,15:32:50,1,243,0,0,244,0,0
2021-03-23,15:32:59,3,245,0,0,244,0,0
2021-03-23,15:33:07,0,247,0,0,244,0,0
2021-03-23,15:33:11,2,249,0,0,246,0,0
2021-03-23,15:33:16,2,251,0,0,247,0,0
2021-03-23,15:33:19,2,253,0,0,247,0,0
2021-03-23,15:33:25,1,254,0,0,249,0,0
2021-03-23,15:33:27,1,255,0,0,251,0,0
2021-03-23,15:33:29,0,257,0,0,251,0,0
2021-03-23,15:33:34,2,260,0,0,251,0,0
2021-03-23,15:33:38,4,260,0,0,253,0,0
2021-03-23,15:33:48,2,261,0,0,255,0,0
2021-03-23,15:34:01,2,262,0,0,257,0,0
2021-03-23,15:34:03,2,264,0,0,257,0,0
2021-03-23,15:34:12,3,264,0,0,259,0,0
2021-03-23,15:34:14,1,264,0,0,261,0,0
2021-03-23,15:34:22,1,265,0,0,263,0,0
2021-03-23,15:34:24,1,265,0,0,265,0,0
2021-03-23,15:34:27,2,267,0,0,266,0,0
2021-03-23,15:34:32,3,267,0,0,268,0,0
2021-03-23,15:34:36,3,267,0,0,270,0,0
2021-03-23,15:34:46,3,269,0,0,271,0,0
2021-03-23,15:34:49,4,269,0,0,273,0,0
2021-03-23,15:34:53,0,270,0,0,275,0,0
2021-03-23,15:35:14,2,271,0,0,277,0,0
2021-03-23,15:35:19,1,273,0,0,277,0,0
2021-03-23,15:35:29,3,275,0,0,278,0,0
2021-03-23,15:35:32,2,275,0,0,280,0,0
2021-03-23,15:35:34,1,277,0,0,280,0,0
2021-03-23,15:35:45,0,279,0,0,281,0,0
2021-03-23,15:35:51,0,279,0,0,283,0,0
2021-03-23,15:36:03,0,280,0,0,285,0,0
2021-03-23,15:36:11,1,281,0,0,287,0,0
2021-03-23,15:36:15,0,283,0,0,287,0,0
2021-03-23,15:36:22,2,283,0,0,289,0,0
2021-03-23,15:36:30,0,284,0,0,291,0,0
2021-03-23,15:36:41,1,286,0,0,291,0,0
2021-03-23,15:36:44,1,286,0,0,293,0,0
2021-03-23,15:36:46,1,286,0,0,295,0,0
2021-03-23,15:36:50,1,288,0,0,295,0,0
2021-03-23,15:36:53,2,290,0,0,296,0,0
2021-03-23,15:36:56,0,292,0,0,296,0,0
2021-03-23,15:37:01,1,294,0,0,297,0,0
2021-03-23,15:37:04,2,296,0,0,297,0,0
2021-03-23,15:37:09,1,296,0,0,299,0,0
2021-03-23,15:37:12,0,298,0,0,300,0,0
2021-03-23,15:37:19,0,300,0,0,301,0,0
2021-03-23,15:37:22,1,302,0,0,302,0,0
2021-03-23,15:37:24,1,304,0,0,303,0,0
2021-03-23,15:37:28,1,306,0,0,304,0,0
2021-03-23,15:37:36,3,307,0,0,306,0,0
2021-03-23,15:37:54,1,309,0,0,307,0,0
2021-03-23,15:37:59,0,311,0,0,308,0,0
2021-03-23,15:38:07,2,313,0,0,309,0,0
2021-03-23,15:38:13,3,314,0,0,311,0,0
2021-03-23,15:38:19,0,316,0,0,312,0,0
2021-03-23,15:38:26,1,316,0,0,314,0,0
2021-03-23,15:38:33,1,316,0,0,316,0,0
2021-03-23,15:38:42,2,318,0,0,317,0,0
2021-03-23,15:38:55,5,318,0,0,319,0,0
2021-03-23,15:38:57,1,320,0,0,319,0,0
2021-03-23,15:39:05,1,322,0,0,319,0,0
2021-03-23,15:39:12,2,324,0,0,320,0,0
2021-03-23,15:39:19,1,326,0,0,321,0,0
2021-03-23,15:39:21,3,326,0,0,323,0,0
2021-03-23,15:39:30,0,327,0,0,325,0,0
2021-03-23,15:39:40,3,328,0,0,327,0,0
2021-03-23,15:39:42,1,329,0,0,329,0,0
2021-03-23,15:39:45,1,329,0,0,331,0,0
2021-03-23,15:39:56,0,329,0,0,333,0,0
2021-03-23,15:40:18,1,331,0,0,333,0,0
2021-03-23,15:40:22,0,332,0,0,335,0,0
2021-03-23,15:40:24,1,334,0,0,335,0,0
2021-03-23,15:40:27,0,336,0,0,335,0,0
2021-03-23,15:40:33,1,336,0,0,337,0,0
2021-03-23,15:40:37,3,337,0,0,339,0,0
2021-03-23,15:40:43,2,338,0,0,341,0,0
2021-03-23,15:40:46,1,338,0,0,343,0,0
2021-03-23,15:40:49,2,338,0,0,345,0,0
2021-03-23,15:40:52,1,340,0,0,346,0,0
2021-03-23,15:41:01,1,341,0,0,348,0,0
2021-03-23,15:41:05,1,343,0,0,349,0,0
2021-03-23,15:41:17,0,345,0,0,350,0,0
2021-03-23,15:41:22,1,347,0,0,352,0,0
2021-03-23,15:41:27,1,347,0,0,354,0,0
2021-03-23,15:41:34,3,349,0,0,355,0,0
2021-03-23,15:41:37,0,351,0,0,355,0,0
2021-03-23,15:41:42,2,352,0,0,357,0,0
2021-03-23,15:41:50,2,354,0,0,358,0,0
2021-03-23,15:41:54,1,354,0,0,360,0,0
2021-03-23,15:41:57,2,356,0,0,361,0,0
2021-03-23,15:41:59,3,358,0,0,361,0,0
2021-03-23,15:42:01,1,360,0,0,361,0,0
2021-03-23,15:42:06,5,362,0,0,361,0,0
2021-03-23,15:42:08,1,363,0,0,363,0,0
2021-03-23,15:42:10,4,365,0,0,363,0,0
2021-03-23,15:42:13,1,365,0,0,367,0,0
2021-03-23,15:42:16,2,367,0,0,367,0,0
2021-03-23,15:42:20,0,369,0,0,367,0,0
2021-03-23,15:42:23,4,369,0,0,369,0,0
2021-03-23,15:42:27,2,370,0,0,371,0,0
2021-03-23,15:42:30,5,372,0,0,373,0,0
2021-03-23,15:42:32,0,374,0,0,375,0,0
2021-03-23,15:42:34,0,376,0,0,375,0,0
2021-03-23,15:42:41,2,376,0,0,377,0,0
2021-03-23,15:42:43,2,378,0,0,377,0,0
2021-03-23,15:42:47,0,379,0,0,379,0,0
2021-03-23,15:42:56,1,381,0,0,380,0,0
2021-03-23,15:43:03,0,383,0,0,380,0,0
2021-03-23,15:43:06,2,384,0,0,382,0,0
2021-03-23,15:43:12,1,384,0,0,384,0,0
2021-03-23,15:43:15,3,386,0,0,384,0,0
2021-03-23,15:43:17,1,388,0,0,385,0,0
2021-03-23,15:43:28,2,389,0,0,387,0,0
2021-03-23,15:43:32,3,391,0,0,388,0,0
2021-03-23,15:43:34,2,391,0,0,390,0,0
2021-03-23,15:43:42,1,393,0,0,391,0,0
2021-03-23,15:43:50,0,394,0,0,393,0,0
2021-03-23,15:44:03,2,396,0,0,394,0,0
2021-03-23,15:44:06,0,396,0,0,396,0,0
2021-03-23,15:44:10,1,397,0,0,399,0,0
2021-03-23,15:44:36,1,398,0,0,401,0,0
2021-03-23,15:44:46,1,398,0,0,403,0,0
2021-03-23,15:44:50,1,399,0,0,405,0,0
2021-03-23,15:45:03,2,401,0,0,406,0,0
2021-03-23,15:45:12,1,403,0,0,406,0,0
2021-03-23,15:45:14,1,403,0,0,408,0,0
2021-03-23,15:45:21,0,405,0,0,409,0,0
2021-03-23,15:45:24,3,407,0,0,409,0,0
2021-03-23,15:45:30,1,409,0,0,410,0,0
2021-03-23,15:45:36,0,409,0,0,412,0,0
2021-03-23,15:45:42,0,411,0,0,413,0,0
2021-03-23,15:45:47,1,413,0,0,414,0,0
2021-03-23,15:46:03,0,415,0,0,415,0,0
2021-03-23,15:46:06,1,415,0,0,417,0,0
2021-03-23,15:46:19,0,417,0,0,418,0,0
2021-03-23,15:46:27,0,418,0,0,420,0,0
2021-03-23,15:46:31,3,420,0,0,420,0,0
2021-03-23,15:46:41,3,421,0,0,422,0,0
2021-03-23,15:47:08,3,422,0,0,424,0,0
2021-03-23,15:47:10,0,424,0,0,425,0,0
2021-03-23,15:47:15,0,425,0,0,427,0,0
2021-03-23,15:47:20,0,427,0,0,427,0,0
2021-03-23,15:47:36,0,429,0,0,428,0,0
2021-03-23,15:47:48,1,431,0,0,429,0,0
2021-03-23,15:47:57,5,431,0,0,431,0,0
2021-03-23,15:48:00,2,434,0,0,432,0,0
2021-03-23,15:48:05,1,434,0,0,434,0,0
2021-03-23,15:48:18,2,436,0,0,434,0,0
2021-03-23,15:48:26,3,438,0,0,434,0,0
2021-03-23,15:48:30,0,438,0,0,436,0,0
2021-03-23,15:48:40,1,440,0,0,437,0,0
2021-03-23,15:48:43,0,442,0,0,438,0,0
2021-03-23,15:48:52,2,444,0,0,439,0,0
2021-03-23,15:48:58,3,445,0,0,441,0,0
2021-03-23,15:49:01,0,447,0,0,442,0,0
2021-03-23,15:49:11,2,449,0,0,443,0,0
2021-03-23,15:49:14,2,451,0,0,443,0,0
2021-03-23,15:49:23,0,452,0,0,445,0,0
2021-03-23,15:49:26,1,454,0,0,445,0,0
2021-03-23,15:49:30,0,456,0,0,446,0,0
2021-03-23,15:49:32,3,457,0,0,448,0,0
2021-03-23,15:49:34,3,457,0,0,452,0,0
2021-03-23,15:49:37,0,461,0,0,453,0,0
2021-03-23,15:49:39,1,461,0,0,455,0,0
2021-03-23,15:49:48,3,463,0,0,455,0,0
2021-03-23,15:49:52,1,464,0,0,457,0,0
2021-03-23,15:50:25,2,465,0,0,459,0,0
2021-03-23,15:50:29,0,465,0,0,461,0,0
2021-03-23,15:50:55,1,467,0,0,461,0,0
2021-03-23,15:51:16,1,469,0,0,462,0,0
2021-03-23,15:51:22,2,470,0,0,464,0,0
2021-03-23,15:51:27,0,472,0,0,464,0,0
2021-03-23,15:51:35,0,472,0,0,466,0,0
2021-03-23,15:51:49,1,474,0,0,466,0,0
2021-03-23,15:51:54,0,476,0,0,466,0,0
2021-03-23,15:52:02,2,476,0,0,468,0,0
2021-03-23,15:52:05,2,478,0,0,469,0,0
2021-03-23,15:52:15,2,479,0,0,471,0,0
2021-03-23,15:52:35,0,481,0,0,472,0,0
2021-03-23,15:52:38,1,483,0,0,472,0,0
2021-03-23,15:52:47,2,484,0,0,475,0,0
2021-03-23,15:52:58,1,485,0,0,477,0,0
2021-03-23,15:53:04,2,487,0,0,477,0,0
2021-03-23,15:53:10,0,487,0,0,479,0,0
2021-03-23,15:53:17,2,488,0,0,481,0,0
2021-03-23,15:53:23,2,490,0,0,482,0,0
2021-03-23,15:53:34,1,492,0,0,483,0,0
2021-03-23,15:53:41,2,493,0,0,485,0,0
2021-03-23,15:53:46,1,493,0,0,487,0,0
2021-03-23,15:53:51,1,495,0,0,488,0,0
2021-03-23,15:54:01,1,497,0,0,489,0,0
2021-03-23,15:54:24,2,498,0,0,491,0,0
2021-03-23,15:54:34,1,499,0,0,493,0,0
2021-03-23,15:54:42,2,501,0,0,493,0,0
2021-03-23,15:54:46,0,501,0,0,495,0,0
2021-03-23,15:54:48,0,503,0,0,496,0,0
2021-03-23,15:54:51,2,505,0,0,498,0,0
2021-03-23,15:54:53,1,505,0,0,500,0,0
2021-03-23,15:54:58,1,505,0,0,502,0,0
2021-03-23,15:55:03,0,507,0,0,502,0,0
2021-03-23,15:55:11,1,509,0,0,503,0,0
2021-03-23,15:55:18,3,510,0,0,505,0,0
2021-03-23,15:55:22,1,510,0,0,507,0,0
2021-03-23,15:55:25,2,513,0,0,507,0,0
2021-03-23,15:55:30,3,515,0,0,507,0,0
2021-03-23,15:55:32,2,517,0,0,508,0,0
2021-03-23,15:55:39,2,519,0,0,509,0,0
2021-03-23,15:55:45,3,520,0,0,511,0,0
2021-03-23,15:55:48,1,520,0,0,513,0,0
2021-03-23,15:55:59,1,522,0,0,513,0,0
2021-03-23,15:56:04,2,524,0,0,514,0,0
2021-03-23,15:56:11,1,524,0,0,516,0,0
2021-03-23,15:56:20,2,526,0,0,517,0,0
2021-03-23,15:56:23,0,528,0,0,518,0,0
2021-03-23,15:56:26,2,530,0,0,519,0,0
2021-03-23,15:56:43,2,532,0,0,520,0,0
2021-03-23,15:56:52,2,534,0,0,520,0,0
2021-03-23,15:56:59,1,534,0,0,522,0,0
2021-03-23,15:57:32,1,536,0,0,523,0,0
2021-03-23,15:57:37,1,537,0,0,525,0,0
2021-03-23,15:57:50,1,537,0,0,527,0,0
2021-03-23,15:58:17,2,539,0,0,527,0,0
2021-03-23,15:58:19,0,539,0,0,529,0,0
2021-03-23,15:58:31,0,539,0,0,531,0,0
2021-03-23,15:58:49,0,540,0,0,533,0,0
2021-03-23,15:58:56,1,542,0,0,533,0,0
2021-03-23,15:58:59,1,544,0,0,533,0,0
2021-03-23,15:59:08,2,546,0,0,534,0,0
2021-03-23,15:59:24,1,548,0,0,535,0,0
2021-03-23,15:59:28,0,548,0,0,537,0,0
2021-03-23,15:59:40,1,550,0,0,538,0,0
2021-03-23,15:59:46,0,552,0,0,538,0,0
2021-03-23,15:59:52,4,552,0,0,540,0,0
2021-03-23,15:59:58,0,554,0,0,541,0,0
2021-03-23,16:00:02,3,556,0,0,541,0,0
2021-03-23,16:00:07,2,557,0,0,543,0,0
2021-03-23,16:00:15,1,559,0,0,544,0,0
2021-03-23,16:00:20,0,559,0,0,546,0,0
2021-03-23,16:00:23,1,561,0,0,546,0,0
2021-03-23,16:00:27,2,562,0,0,548,0,0
2021-03-23,16:00:29,3,565,0,0,548,0,0
2021-03-23,16:00:32,0,565,0,0,551,0,0
2021-03-23,16:00:37,2,565,0,0,553,0,0
2021-03-23,16:00:51,1,565,0,0,555,0,0
2021-03-23,16:01:00,4,567,0,0,555,0,0
2021-03-23,16:01:03,3,569,0,0,556,0,0
2021-03-23,16:01:05,1,569,0,0,558,0,0
2021-03-23,16:01:12,1,570,0,0,560,0,0
2021-03-23,16:01:28,0,572,0,0,560,0,0
2021-03-23,16:01:38,1,573,0,0,562,0,0
2021-03-23,16:02:03,2,575,0,0,563,0,0
2021-03-23,16:02:08,2,577,0,0,563,0,0
2021-03-23,16:02:11,2,579,0,0,563,0,0
2021-03-23,16:02:23,1,581,0,0,564,0,0
2021-03-23,16:02:33,0,582,0,0,566,0,0
2021-03-23,16:02:37,1,584,0,0,567,0,0
2021-03-23,16:02:43,2,584,0,0,569,0,0
2021-03-23,16:02:54,0,586,0,0,570,0,0
2021-03-23,16:03:10,2,588,0,0,571,0,0
2021-03-23,16:03:27,2,590,0,0,571,0,0
2021-03-23,16:03:31,0,592,0,0,571,0,0
2021-03-23,16:03:34,3,593,0,0,574,0,0
2021-03-23,16:03:42,1,594,0,0,576,0,0
2021-03-23,16:03:52,0,596,0,0,576,0,0
2021-03-23,16:03:57,2,598,0,0,577,0,0
2021-03-23,16:04:00,2,601,0,0,577,0,0
2021-03-23,16:04:03,3,601,0,0,579,0,0
2021-03-23,16:04:10,3,602,0,0,581,0,0
2021-03-23,16:04:16,1,604,0,0,582,0,0
2021-03-23,16:04:20,1,606,0,0,583,0,0
2021-03-23,16:04:31,2,608,0,0,584,0,0
2021-03-23,16:04:34,1,610,0,0,586,0,0
2021-03-23,16:04:46,1,612,0,0,587,0,0
2021-03-23,16:04:54,0,613,0,0,589,0,0
2021-03-23,16:05:11,1,615,0,0,590,0,0
2021-03-23,16:05:14,1,615,0,0,592,0,0
2021-03-23,16:05:22,0,617,0,0,593,0,0
2021-03-23,16:05:31,1,619,0,0,594,0,0
2021-03-23,16:05:35,3,620,0,0,596,0,0
2021-03-23,16:05:41,4,622,0,0,597,0,0
2021-03-23,16:05:54,0,622,0,0,599,0,0
2021-03-23,16:06:02,3,624,0,0,599,0,0
2021-03-23,16:06:06,1,626,0,0,599,0,0
2021-03-23,16:06:09,0,626,0,0,602,0,0
2021-03-23,16:06:22,1,627,0,0,604,0,0
2021-03-23,16:06:34,2,629,0,0,605,0,0
2021-03-23,16:06:44,2,630,0,0,607,0,0
2021-03-23,16:06:58,1,631,0,0,609,0,0
2021-03-23,16:07:05,2,632,0,0,611,0,0
2021-03-23,16:07:08,1,634,0,0,611,0,0
2021-03-23,16:07:18,0,635,0,0,613,0,0
2021-03-23,16:07:22,0,637,0,0,614,0,0
2021-03-23,16:07:40,1,638,0,0,616,0,0
2021-03-23,16:07:45,2,640,0,0,616,0,0
2021-03-23,16:07:54,3,640,0,0,618,0,0
2021-03-23,16:07:56,2,642,0,0,619,0,0
2021-03-23,16:08:09,1,643,0,0,621,0,0
2021-03-23,16:08:19,0,645,0,0,621,0,0
2021-03-23,16:08:22,0,645,0,0,623,0,0
2021-03-23,16:08:32,3,646,0,0,625,0,0
2021-03-23,16:08:37,0,648,0,0,625,0,0
2021-03-23,16:08:50,2,650,0,0,626,0,0
2021-03-23,16:08:59,2,651,0,0,628,0,0
2021-03-23,16:09:02,2,651,0,0,630,0,0
2021-03-23,16:09:10,3,653,0,0,631,0,0
2021-03-23,16:09:16,1,654,0,0,633,0,0
2021-03-23,16:09:24,0,654,0,0,635,0,0
2021-03-23,16:09:33,0,656,0,0,635,0,0
2021-03-23,16:10:17,1,657,0,0,637,0,0
2021-03-23,16:10:32,2,659,0,0,637,0,0
2021-03-23,16:10:39,0,661,0,0,638,0,0
2021-03-23,16:11:10,1,661,0,0,640,0,0
2021-03-23,16:11:35,0,662,0,0,642,0,0
2021-03-23,16:11:47,3,664,0,0,642,0,0
2021-03-23,16:12:02,0,664,0,0,644,0,0
2021-03-23,16:12:05,0,665,0,0,646,0,0
2021-03-23,16:12:14,3,666,0,0,648,0,0
2021-03-23,16:12:18,1,668,0,0,648,0,0
2021-03-23,16:12:26,2,668,0,0,650,0,0
2021-03-23,16:12:32,1,670,0,0,650,0,0
2021-03-23,16:12:39,0,672,0,0,650,0,0
2021-03-23,16:12:45,0,673,0,0,652,0,0
